# Bronlijst uit "Complete Gids Natuur- en Wandelgebieden in Nederland"
# formaat: groep|nr|naam|paginanummer
73|21|Hilbelink|217
73|22|Driemark|164
73|23|De Plekenpol|333
73|24|Beestman|120
73|25|Buskersbos|148
73|26|Huitink|230
73|27|Sieverdink|363
73|28|Borkense Baan|134
73|29|Deunk|156
73|30|Bekendelle|120
73|31|Stortelersbeek|379
73|32|Beestmans|120
73|33|Keunenhuis|245
73|34|Aarnink|103
73|35|Rot en Aarnink|348
73|36|Meerdink en Lammers|287
73|37|De Haar|204
73|38|Veenhuis|394
73|39|Wooldse Veen|432
73|40|Kulverheide|259
73|41|Wisch|429
73|42|Idink|232
73|43|Wissink|429
73|44|Kruisdijk|258
73|45|Het Vels|396
73|46|De Heurne|216
73|47|Dinxperlo landschapselementen|159
73|48|Kluunpand en Sleebos|248
73|49|Landfort|264
74|1|Hesselink|215
74|2|Willinksweust en Heksenbos|428
74|3|Kotten|254
74|4|Lankkamp en Nonneven|267
75|1|Manteling van Walcheren|282
75|2|Zeeduin|435
76|1|Zoute en Zoete Haard|438
76|2|Grevelingen|195
76|3|Naterskreek|298
76|4|Vroongronden|407
76|5|Kop van Schouwen, Staatsnatuurmonument|253
76|6|Slot Haamstede|366
76|7|Karolingse Burcht|240
76|8|Schelphoek|356
76|9|Schouwse Dijkbeemden|362
76|10|Schuddebeurs|362
76|11|Mon Plaisir|296
76|12|Zuiddijk te Schuddebeurs|438
76|13|Schouwense Inlagen en Karrevelden|361
76|14|Neeltje Jans|301
76|15|Oranjezon|321
76|16|Fort Den Haak|181
76|17|Kamperlandse Duintjes|239
76|18|Inlagen Anna Friso|234
76|19|Dijkbeemden Noord-Beveland|157
76|20|Inlagen Noord-Beveland|235
76|21|Bosjes Noord-Beveland|137
76|22|Veere|394
76|23|Veerse Meer|394
76|24|Middelplaten|291
76|25|Kwistenburg|260
76|26|Katse Plaat|243
77|1|Grevelingen|195
77|2|Bloemdijken Flakkee West|130
77|3|Kreken Flakkee West|256
77|4|Bosobjecten Flakkee West|137
77|5|Blanke Slikken|129
77|6|Grasgorzen Haringvliet|193
77|7|Bosobjecten Flakkee Oost|137
77|8|Bloemdijken Flakkee Oost|130
77|9|Krammer Volkerak|256
77|10|Dijkwater|158
77|11|Steenzwaan|377
77|12|Krekengebied Ouwerkerk|257
77|13|Sint Philipsland Buitendijks|365
77|14|Plaat van de Vliet en Slikken van de Heen-west|331
77|15|Eendenkooi Sint Philipsland|170
77|16|Bruintjeskreek|145
77|17|Stinkgat|378
77|18|Rammegors|338
77|19|Slikken van de Heen|366
77|20|Dintelse Gorzen|158
77|21|Steenberge Vliet|376
77|22|Westbrabantse Dijken|418
77|23|Welen onder Stavenisse|418
77|24|Thoolse Schorren en Slikken|385
77|25|Thoolse Dijkbeemden|385
77|26|Pluimpot|333
77|27|Zuidweihoek|440
77|28|Prinsland|336
77|29|Roode Weel|348
77|30|Oudland|325
77|31|Het Laag|261
78|1|Oudeland van Strijen|325
78|2|De Elzen|174
78|3|De Biesbosch, Nationaal Park|127
78|4|Krammer Volkerak|256
78|5|Anthoniegorzen en Fort Sabina|111
78|6|Vlaakenhoek|401
78|7|Ruigenhil|351
78|8|Buitengorzen|147
78|9|Oeverlanden Hollandsch Diep|311
78|10|Sassenplaat|358
78|11|Moerdijk|292
78|12|Zonzeel en De Worp|437
78|13|Westelijke Beemden|419
78|14|Haagse Beemden|203
78|15|Rooskensdonk|348
78|16|Haagse Beemdenbos|203
78|17|Pagnevaartbos|328
78|18|Liesbos|275
78|19|Sprundelsebaan-Zundertseweg|374
78|20|Kogelvanger|249
78|21|Vloeiweide|403
78|22|Mastbos|285
79|1|De Biesbosch, Nationaal Park|127
79|2|Aakvlaai|102
79|3|Kornsche Boezem|253
79|4|Pompveld|335
79|5|Nederhemert|301
79|6|Gansooiense Uiterwaard|185
79|7|Elshoutse Wielen|173
79|8|Pax|329
79|9|Langstraat|267
79|10|De Linies|277
79|11|Terheijden|383
79|12|Spinolaschans|373
79|13|Meerberg|287
79|14|Vrachelsche Heide|406
79|15|Oosterheide|318
79|16|Teteringse Heide en Cadettenkamp|385
79|17|Dorst|162
79|18|Vijf Eiken|400
79|19|De Bergen|123
79|20|De Hoge Kant|220
79|21|Huis ter Heide|229
79|22|Baardwijkse Overlaat|115
79|23|Plantloon|332
79|24|Loonse en Drunense Duinen|278
79|25|De Brand|142
79|26|De Strijdhoef|380
79|27|Papenhuizen|329
79|28|Mastbos|285
79|29|Blauwe Kamer|129
79|30|Ulvenhoutsebos en Chaam|391
79|31|Reeshofbos|341
79|32|Vredelust en Heidepark|406
79|33|Oude Warande|324
79|34|Mariënhof|284
80|1|Hedel en Ammerzoden|209
80|2|Uiterwaarden bij Bokhoven|390
80|3|Henriëttewaard|214
80|4|Uiterwaarden Maaspoort|390
80|5|De Koornwaard|252
80|6|Maasuiterwaarden|281
80|7|Lithse Kooi|277
80|8|Sompen en Zooislagen|369
80|9|Meer van Engelen|287
80|10|De Kerkhoek|244
80|11|Polder van Den Eigen en Empel|334
80|12|Heinis|212
80|13|Karregat|240
80|14|Graafse Baan|193
80|15|Het Vinkel en De Eikenburg|400
80|16|De Wamberg|411
80|17|Hoogbos, Engelenstede en Zeebroek|224
80|18|Geffense Bosjes|186
80|19|Stelt en De Haag|378
80|20|Arboretum Heesch|113
80|21|Heesch en Nistelrode|210
80|22|Nieuwkuijks Bosje|304
80|23|Moerputten|293
80|24|Rijskampen|345
80|25|De Margriet|283
80|26|Loonse en Drunense Duinen|278
80|27|De Distelberg|159
80|28|Zwijnsbergen|443
80|29|De IJzeren Man|233
80|30|Wargashuyse|412
80|31|Jagershagen|235
80|32|Vughtse Heide en Lunetten|407
80|33|Fort Isabella|181
80|34|Bossche Broek|138
80|35|Sterrenbosch|378
80|36|Gemeentebos De Houw|187
80|37|Maurick|286
80|38|Haanwijk|204
80|39|Gemeentebos Esseweg|187
80|40|De Bevert|126
80|41|Zegenwerp|436
80|42|Eikenhorst|172
80|43|Venrode|398
80|44|Sparrenrijk|371
80|45|Seldensate|363
80|46|Kasteel Heeswijk|241
80|47|Gemeentebos Heeswijk-Dinther|187
80|48|De Prekers|336
80|49|Wijboschbroek|425
80|50|Zwanenburg|442
80|51|Aa-broeken|102
80|52|Recreatiepark Veghel|340
80|53|Eerdse Bergen|171
80|54|Coevering Logtenburg|151
80|55|Geelders|186
80|56|De Leemkuilen|269
80|57|Nemelaer|302
80|58|Suysse Bos|381
80|59|Oude Hondsberg, Ter Braakloop en Galgeven|324
80|60|Oisterwijkse Bossen en Vennen|312
80|61|Rozep|350
80|62|Kampina|239
80|63|Achtbundersedijk en Logtsebaan|103
80|64|De Mortelen en Heerenbeek|296
80|65|Velder|395
80|66|Kuppenbunders|259
80|67|De Scheeken|355
80|68|Dommeldal|160
80|69|Dommelbeemden|160
80|70|Vressels Bos|407
81|1|Gemeentebossen Berghem en Schaijk|187
81|2|Herperduin|215
81|3|Goor-Dassenburcht|191
81|4|Natuurpark Maashorst|300
81|5|Keent en Reek|243
81|6|Coehoorn|150
81|7|Reekse Heide|341
81|8|Mill en Langenboom|292
81|9|Graafsche Raamdal, Estersbroek en Maurik|193
81|10|Molenakker, Gasselse Heide en Vogelvijvers|294
81|11|Land van Cuijk|263
81|12|Tongelaar|387
81|13|Langenboom|267
81|14|Ossenbroek, Nieuwenhof en De Dennen|322
81|15|Zevenhutten|437
81|16|Groesbeek|197
81|17|Mookerschans|296
81|18|Herrendal|215
81|19|Mokerheide|293
81|20|Sint-Jansberg|364
81|21|Rivierduintjes|346
81|22|De Zevenbergen|437
81|23|Oeffelter Meent|311
81|24|Bedafse Bergen|118
81|25|Wijstgronden|425
81|26|Goorbos|192
81|27|Boscomplex Odiliapeel|136
81|28|Voskuilenheuvel|406
81|29|De Bergen|123
81|30|Sint Anthonisbos|363
81|31|Brestbosch en Sassekamp|143
81|32|Veghel en Erp|395
81|33|Het Leijnt|271
81|34|Gemeentebossen Lieshout|188
81|35|Het Hurkske|231
81|36|Arendsnest, Vogelenzang en Venhorst|113
81|37|Gemertse Bos|189
81|38|De Sijp|363
81|39|Stippelberg|378
81|40|Beestenveld|120
81|41|Stichting|378
81|42|Groote Slink en Bunthorst|201
81|43|Radiobossen|337
81|44|Lactaria|261
81|45|Gemeentebossen Vierlingsbeek|188
81|46|Zwartwater|443
81|47|Ballonzuilbossen|116
81|48|Overloonse Duinen|326
82|1|Bruuk|146
82|2|Zelderse Driessen|436
82|3|Heijense Bos|212
82|4|Het Huis Heijen|229
82|5|De Brem|143
82|6|Maasoevers Limburg|281
82|7|Bergerbos|123
82|8|Bergjes|124
82|9|Bleyenbeek|130
82|10|Eckeltse Bergen|168
82|11|Overloon|326
82|12|Gemeentebossen Vierlingsbeek|188
82|13|Makken|282
82|14|Heuloërbroek|215
82|15|Boswachterij Gemeente Bergen|139
82|16|Boshuizerbergen|137
82|17|Landgoed Geijsteren|264
82|18|Bosserheide|139
82|19|Rode Hoek|346
83|1|Kuststrook Walcheren|259
83|2|Vliedbergen|402
83|3|Het Zwin en Kievittepolder|444
83|4|Oudelandse Polder|325
83|5|Verdronken Zwarte Polder|399
83|6|Wallen van Retranchement|411
83|7|De Knokkert|249
83|8|Baarzandse Kreek|115
83|9|De Blikken|130
83|10|De Reep|341
83|11|Dijken Oostburg|158
83|12|Het Grote Gat|201
83|13|Aardenburgse havenpolder|103
84|1|Graslanden, Oude Veerseweg|193
84|2|Zilveren Schor|437
84|3|Heggengebied, Arnemuiden|210
84|4|Goudplaat|193
84|5|Veerse Meer|394
84|6|Schenge|356
84|7|Sabbingedijk|352
84|8|Dijkbeemden, Schengengebied|157
84|9|Weel in de Heerenpolder|414
84|10|Deesche Watergang|154
84|11|Ter Hooge|224
84|12|Dijkbeemden Walcheren|157
84|13|Rammekens|338
84|14|Bloemdijken Zuid-Beveland|131
84|15|Baarsdorp|115
84|16|Poelbos|333
84|17|Spoorbaan Goes-Borsele|373
84|18|De Poel|333
84|19|Akerwegje, Grenslinde en Meidoornhaag|104
84|20|Jachtse Bos|235
84|21|Landlust|266
84|22|Bloemdijken van Zuid-Beveland|130
84|23|Zwaakse Weel|441
84|24|Kapelle Bank|240
84|25|Berg van Troje|122
84|26|Westeindse Weel|419
84|27|Het Slaakje|365
84|28|Inlaag 1887|234
84|29|Fort Ellewoutsdijk|181
84|30|Zuidgors|439
84|31|Hooge Platencomplex|224
84|32|Nummer Eén|309
84|33|Inlaag Hoofdplaat|234
84|34|Inlaag Kruispolderkaai|234
84|35|Westzeeuwsevlaamse Dijken|422
84|36|Paulinaschor|329
84|37|Braakman|142
84|38|Toorenbos|387
85|1|Wemeldingse Bos|418
85|2|Kouden- en Kaarspolder|254
85|3|Yerseke Moer|433
85|4|Kapelse Moer|240
85|5|Kapelse Bos|240
85|6|Den Inkel|234
85|7|Lavendeldijk|269
85|8|Dijkbeemden Reimerswaal|157
85|9|Schor van Waarde|360
85|10|Schor bij Bath|360
85|11|Princesseplaat|336
85|12|Lange Water|266
85|13|Fort de Roovere|182
85|14|Buitenlust|147
85|15|Pottersbos|335
85|16|De Heide|211
85|17|Zoomland|438
85|18|Lievensberg|276
85|19|Molenzicht|296
85|20|Wouwse Plantage|432
85|21|Groot Molenbeek|199
85|22|Markiezaat|285
85|23|Lindonk|276
85|24|Mattemburgh|286
85|25|Woensdrechtse Heide|431
85|26|Walse Duin|411
85|27|Kooiheide|252
85|28|Kortenhoef|254
85|29|Staartse Heide en Duinen|374
85|30|Noordpolder van Ossendrecht|308
85|31|Vluchtheuvel|403
85|32|Pottenbergen|335
85|33|Ossendrecht|322
85|34|Stoppelbergen|379
85|35|Ossendrecht|322
85|36|Verdronken Land van Saeftinge|398
85|37|De Grote Putting|201
85|38|Het Koegat|249
86|1|Wouwse Plantage|432
86|2|De Molenbeek|294
86|3|Visdonk en Rozeven|401
86|4|Rucphense Bossen|350
86|5|Rucphense Heide|350
86|6|De Reten|343
86|7|Oude Buisse Heide|323
86|8|Wallsteijn|411
86|9|De Moeren|293
86|10|Lange Maten|266
86|11|Pannenhoef|328
86|12|Schuitvaartjaagpad|362
86|13|Krabbebossen|255
86|14|Galdersche Heide|185
86|15|Mastbos|285
86|16|Gooren en Krochten|192
86|17|De Matjens|286
86|18|Ossendrecht|322
86|19|Moretusbosch|296
87|1|Mastbos|285
87|2|Markdal|284
87|3|Strijbeekse Heide|380
87|4|Hondsdonk|223
87|5|Valkenberg|393
87|6|Chaamse Beek|150
87|7|Ulvenhoutsebos en Chaam|391
87|8|Kapellebos|240
87|9|Ooijevaarsnest, Regte Heide en Riels Hoefke|315
87|10|Halve Maan|206
87|11|Abcoven|103
87|12|Gemeentebossen Hilvarenbeek|188
87|13|Kerkeindseheide|244
87|14|Gemeentebossen Goirlesedijk|188
87|15|Gorp de Leij|192
87|16|Annanina's Rust|111
87|17|Rovertse Heide|349
87|18|'t Merkske|291
87|19|De Utrecht|392
87|20|Wellenseindse Heide|418
87|21|Dal van de Reusel|153
87|22|Turnhoutse Heide|389
87|23|Molenheide|295
87|24|Reuselse Moeren|343
88|1|Moergestelse Broek|293
88|2|Reuselbeemden|343
88|3|De Mortelen en Heerenbeek|296
88|4|Sonderen en Hoekvelden Oude Steeg|369
88|5|Nieuwe Heide|303
88|6|Sonsche Heide|370
88|7|Dommelrode en Breugelsbroek|160
88|8|Ruweeuwsels|351
88|9|Heerendonk|210
88|10|Nuenen|309
88|11|Het Stuk|381
88|12|Turkaa|388
88|13|De Katschut|243
88|14|De Utrecht|392
88|15|Spreeuwelse Heide|373
88|16|Kuikeindse Heide|258
88|17|Spekdonken en Molenbroek|372
88|18|Landschotse Heide|266
88|19|Donk|161
88|20|Neterselse Heide, De Beemden en Beersbroek|303
88|21|Dal van de Groote Beerze|152
88|22|Gemeentebossen Hoogeloon|188
88|23|Heieinden|212
88|24|Buikheide Oude Molen|146
88|25|Oostelbeerse Heide|317
88|26|'s Heerenvijvers|210
88|27|Oirschotse Heide|312
88|28|De Schouwberg|361
88|29|Knegelse Heide|249
88|30|Mirandolles Heike|292
88|31|Ten Vorsel|405
88|32|De Palts en Kroonvense Heide|328
88|33|Gemeentebossen Reusel|188
88|34|De Kempen|243
88|35|Cartierheide|149
88|36|De Pan|328
88|37|Eersel|171
88|38|Einderheide|172
88|39|Dommeldal|160
88|40|Gemeentebossen Waalre|189
88|41|Kanunnikesven|239
88|42|Groote Heide|199
88|43|Gemeentebossen Heeze|188
88|44|Valkenhorst en Heezerheide|393
88|45|Wandelpark, De Grote Meer en Nederheide|412
88|46|Dommelse Bossen|161
88|47|Keersop en Run|243
88|48|Westerhovensbos|421
88|49|De Wetering|422
88|50|Leende|269
89|1|Keelgras|243
89|2|Stiphoutse Bossen|378
89|3|De Warande|412
89|4|Biezen en Milschot|128
89|5|Grotelse Bos|202
89|6|Bakelse Beemden en Bungern|115
89|7|Bakelse Bossen|115
89|8|Gemeentebossen Gemert|188
89|9|Stippelberg|378
89|10|Nederheide|301
89|11|Vliegveldbossen, Testrik en Kempkesberg|402
89|12|De Kamp|238
89|13|Vlakwater|401
89|14|Loobeekdal|278
89|15|Horst|226
89|16|Walsbergse Bossen|411
89|17|Heidse Peel|211
89|18|Paardekop|327
89|19|Papenvoortse Heide|329
89|20|Berenbroek|122
89|21|Het Groot Goor|198
89|22|Zandbos|434
89|23|Vlierdense Bossen|403
89|24|Kasteelpark Geldrop|242
89|25|Luchense Bos|280
89|26|Molenbos|294
89|27|Klein Goor|246
89|28|Sang en Goorkens|353
89|29|Gebergten en Herselse Heide|186
89|30|Groot Braakhuizen|198
89|31|Bossen bij Coevering|138
89|32|De Weijer|417
89|33|Braakhuizensche Heide|142
89|34|Verste Bos en De Meer|399
89|35|Strabrechtsche Heide|379
89|36|Lieropse Heide en Beuven|275
89|37|Herbertusbossen|214
89|38|Kasteel Heeze|241
89|39|Somerense Heide|369
89|40|Schietberg|358
89|41|De Donck|161
89|42|Oostappense Heide|316
89|43|Wandelbos Asten|411
89|44|Galgenberg|185
89|45|Polderse Bossen|335
89|46|Aa-stein|102
89|47|Dennendijkse Bossen|156
89|48|Deurnese Peel, Mariapeel en Grauvveen|156
89|49|Putbos|336
89|50|Heleneveen|213
89|51|Leende|269
89|52|De Pan|328
89|53|Boksenberg|133
89|54|Starkriet|376
89|55|Witte Bergen|430
89|56|De Groote Peel, Nationaal Park|200
89|57|Astense Aa|114
89|58|Neerkantse Bossen|302
89|59|'t Molentje|295
89|60|Marisberg|284
89|61|Belgenhoek|120
89|62|Simonshoekse Bos|363
89|63|Startebos|376
89|64|Helenavaart|213
89|65|Kanaal van Deurne|239
89|66|Snep en Scherliet|368
90|1|Landgoed Geijsteren|264
90|2|Boswachterij Gemeente Bergen|139
90|3|Landgoed De Hamert|264
90|4|Breehei|143
90|5|Horst|226
90|6|Kasteelse Bossen|243
90|7|Schuitwater|362
90|8|Bosjes Broekhuizen|137
90|9|Klein Vink, Roode Vennen en Boerenheide|246
90|10|Dorperheide|162
90|11|Uvelderheide|392
90|12|Uvelderbos|392
90|13|Leemarkse Heide|270
90|14|Landgoed Kasteel Arcen|265
90|15|Reulsberg|343
90|16|Hoogheide en Houthuizerheide|225
90|17|Kalderbroek|238
90|18|Ravenvennen|339
90|19|Vreewater|406
90|20|Kronenbergerheide, Schatberg, Heesberg en Steegberg|258
90|21|Helenaveen|213
90|22|Molenbeekdal|294
90|23|Winkel|428
90|24|Asbroek|114
90|25|Craijelheide|152
90|26|Sint Jan Sleutelbergbos|354
90|27|De Weerd|415
90|28|Genooierheide|139
90|29|Zwart Water|443
90|30|Steilrandgebied|378
90|31|Groote Heide|199
90|32|Langhout|267
90|33|Dubbroek|164
90|34|Onderste en Bovenste Molen|315
90|35|Boekenderbos|131
91|1|Eekloose Watergang|169
93|1|Groot Eiland|198
93|2|Schuddebeurs Zeeuws-Vlaanderen|362
93|3|Liniedijk|277
93|4|Stadswallen|375
93|5|Bebossing Hulst|117
93|6|Clingepolder|150
93|7|De Weelkens|414
93|8|Sint-Jansteen-Clinge|364
94|1|De Kempen|243
94|2|Zandhoef en Postelbos|434
94|3|De Beeken en De Maaij|118
94|4|De Maaij|281
94|5|Plateaux|333
94|6|Klein-Borkel, Berkheuvel, Zandhoef en Buitenheide|246
94|7|Malpiebeemden|282
94|8|Opperbos|321
94|9|Leende|269
94|10|Berg|122
95|1|Leende|269
95|2|Pompstation Budel|335
95|3|Buulderbroek|149
95|4|Hugterheide|228
95|5|Weerterbos|416
95|6|Weerter- en Buderbergen|416
95|7|Weerterheide|416
95|8|Oude Graaf|323
95|9|Roeventerpeel|347
95|10|Wellenstein|418
95|11|Sarsven en De Banen|353
95|12|Waterbloem|413
95|13|Spaanse Bos|371
95|14|Heijdsberg|212
95|15|Ophovense Zandberg|320
95|16|Asbroekerheide en Kirkelsberg|114
95|17|Leuckeshoeve|273
95|18|Lauracomplex Weert|268
95|19|Kruispeel|258
95|20|Recreatiegebied IJzerenman|340
95|21|Wijffelterbroek|425
95|22|Stramprooise Heide|379
95|23|Areven|113
95|24|Tungelerwallen|388
95|25|Moeselpeel|293
95|26|De Krang|256
95|27|Heijkersbroek en Weerenbroek|212
95|28|Keversbroek|245
95|29|Beylshof|126
95|30|Leudal|273
95|31|Sterrebos|378
95|32|Exaten|178
95|33|Hornerheide|225
95|34|Kloppeven|248
95|35|Kasteel Horn|242
95|36|Beegderheide|118
95|37|Beegderheide en De Breule|118
95|38|Tuspeel|389
95|39|Uffelse Beek|390
95|40|Heioord|212
95|41|Nederhoven|301
95|42|Isabelleegreend|235
95|43|De Horst|226
95|44|Grensmaas|195
95|45|Landgoed Rozendaal|265
95|46|Het Marissen en Kranenbroek|284
96|1|Heldense Bossen|213
96|2|Holtmühle|223
96|3|De Bercken|122
96|4|Beesels Broek|120
96|5|Gemeentebossen Swalmen, Groene Woud en de Bosberg|188
96|6|Hillenraad, Boshei en Nieuwenhof|217
96|7|Swalmal|381
96|8|Hoogbroek|224
96|9|Boscomplexen Heide|137
96|10|De Kukshei|259
96|11|'t Sweeltje|381
96|12|Rendelaarsbos|343
96|13|Roerdal|346
96|14|Melickerheide|290
96|15|De Meinweg, Nationaal Park|289
96|16|Annendalsbos|111
96|17|De Sluffert|367
97|1|De Doort|162
97|2|Taterbos|382
97|3|Het Haeselaar, Bos en Broek en De Kuyper|206
97|4|IJzerenbos|233
97|5|'t Hout|228
97|6|Grensmaas|195
97|7|Land van Swentibold|264
97|8|Grasbroek|193
97|9|Limbrichterbos|276
97|10|Danikerbos|154
97|11|Stammenderbos|375
97|12|Wintrakerberg|429
97|13|Kelmonderbos|243
97|14|Vrouwenbos|407
97|15|Spaubekerbos|372
97|16|Geleenbeekdal|187
97|17|Kasteel Amstenrade|241
97|18|Bunderbos|147
97|19|De Dellen|155
97|20|Ravensbos|338
97|21|Den Ouden Bosch|325
97|22|Haerenbos|206
97|23|Cortenbacherbos|151
98|1|Annendaals Bos|111
98|2|Diergaardsbos en Op den Heuvel|157
98|3|Dal van de Rode Beek|153
98|4|Schinveldse Bossen|358
98|5|Brunssummerheide|145
98|6|Terworm|385
98|7|Bossen in Eygelshoven|138
98|8|Strijthagerbeekdal|380
98|9|Anstelvallei|111
98|10|Carisborg|149
98|11|Berenbos|122
98|12|Bosquet Rolduc|138
99|1|Landgoed St. Gerlach|266
99|2|Bergse Heide|124
99|3|Bemelerberg|120
99|4|Roese Kuilen|347
99|5|Van Tienhovenmolen|385
99|6|Genhoes|189
99|7|Gerendal|189
99|8|Berghofweide|123
99|9|Kasteel Neercanne|242
99|10|Sint-Pietersberg|365
99|11|Kleine Weerd|247
99|12|Boomgaard Gronsveld|134
99|13|Savelsbos|353
99|14|Eijsder Beemden|172
99|15|Kasteel Eysden|241
99|16|Noordal|306
99|17|Horstergrub|226
99|18|Gulpdal|203
99|19|Geul- en Gulpdal|190
99|20|Wittemermolen|430
99|21|Mechelderbeekdal|287
99|22|Geuldal|190
99|23|Vaals|392
99|24|Dal Cottesserbeek|152
99|25|Bovenste Bos|141
100|1|Kunderberg|259
100|2|Imstenraderbos|234
100|3|Klingeleberg|248
100|4|Groeve Sweijer|198
100|5|Kasteel Goedenraad|241
100|6|Wahlwiler Graven|410
100|7|Platte Bossen|333
100|8|Selzerbeekdal|363
100|9|Kasteel Lemiers|242
100|10|Vaals|392
